scout,jogos_num,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,media_num,variacao_num,preco_num,entrou_em_campo,slug,apelido,apelido_abreviado,nome_x,foto,posicao,status,id,clube_nome,clube_sigla
"{'A': 1, 'DS': 1, 'FC': 1, 'FD': 1}",1,78445,1,266,2,7,0,7.4,1.5,7.5,True,rene,Renê,Renê,Renê Rodrigues Martins,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,Lateral,Provável,266,FLU,FLU
{},0,140492,1,262,3,6,0,0.0,0.0,2.0,False,joao-victor,João Victor,J. Victor,João Victor de Souza Cunha,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,Zagueiro,Nulo,262,FLA,FLA
{},0,143295,1,262,4,6,0,0.0,0.0,3.0,False,joshua,Joshua,Joshua,Caio Joshua Lana de Andrade,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,Meia,Nulo,262,FLA,FLA
{},0,130382,1,262,4,6,0,0.0,0.0,3.0,False,guilherme-gomes,Guilherme Gomes,G. Gomes,Guilherme Henrique Bernardineli Gomes,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,Meia,Nulo,262,FLA,FLA
{},0,82463,1,266,4,6,0,0.0,0.0,4.0,False,otavio,Otávio,Otávio,Otávio Henrique Passos Santos,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,Meia,Nulo,266,FLU,FLU
"{'FS': 2, 'I': 1}",1,78117,1,266,5,6,0,0.9,-0.59,4.41,True,everaldo,Everaldo,Everaldo,Everaldo Stum,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,Atacante,Nulo,266,FLU,FLU
{},0,86485,1,294,5,2,0,0.0,0.0,6.0,False,keno,Keno,Keno,Marcos da Silva França,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CFC/FORMATO.png,Atacante,Dúvida,294,CFC,CFC
{},0,101319,1,266,2,6,0,0.0,0.0,6.0,False,guga,Guga,Guga,Cláudio Rodrigues Gomes,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,Lateral,Nulo,266,FLU,FLU
{},0,87258,1,266,5,6,0,0.0,0.0,6.0,False,soteldo,Soteldo,Soteldo,Yeferson Julio Soteldo Martínez,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,Atacante,Nulo,266,FLU,FLU
{},0,79631,1,266,5,5,0,0.0,0.0,6.0,False,cano,Cano,Cano,Germán Ezequiel Cano,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,Atacante,Contundido,266,FLU,FLU
{},0,103523,1,266,3,6,0,0.0,0.0,6.0,False,ignacio,Ignácio,Ignácio,Ignácio da Silva Oliveira,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,Zagueiro,Nulo,266,FLU,FLU
"{'CA': 1, 'FC': 2, 'G': 1}",1,100987,1,266,4,7,0,6.4,1.15,7.15,True,nonato,Nonato,Nonato,Gustavo Nonato Santana,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,Meia,Provável,266,FLU,FLU
