scout,jogos_num,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,media_num,variacao_num,preco_num,entrou_em_campo,slug,apelido,apelido_abreviado,nome_x,foto,posicao,status,id,clube_nome,clube_sigla
{},0,127242,1,264,4,6,0,0.0,0.0,2.0,False,bahia,Bahia,Bahia,Luiz Gustavo Lemos Carvalho,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/COR/FORMATO.png,Meia,Nulo,264,COR,COR
"{'DS': 2, 'FD': 1, 'FS': 2, 'I': 1}",1,105531,1,264,2,6,0,5.1,0.15,9.15,True,matheus-bidu,Matheus Bidu,M. Bidu,Matheus Lima Beltrão Oliveira Valin,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/COR/FORMATO.png,Lateral,Nulo,264,COR,COR
"{'DS': 1, 'FC': 1, 'FS': 2}",1,84558,1,283,4,7,0,2.2,-1.05,8.95,True,lucas-romero,Lucas Romero,L. Romero,Lucas Daniel Romero,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,Meia,Provável,283,CRU,CRU
"{'DS': 4, 'FS': 1}",1,145744,1,264,4,6,0,6.5,1.55,5.55,True,andre,André,André,André Luiz Santos Dias,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/COR/FORMATO.png,Meia,Nulo,264,COR,COR
{},0,122396,1,264,4,6,0,0.0,0.0,3.0,False,ryan,Ryan,Ryan,Ryan Gustavo de Lima,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/COR/FORMATO.png,Meia,Nulo,264,COR,COR
{},0,125488,1,264,3,6,0,0.0,0.0,5.0,False,joao-pedro,João Pedro,J. Pedro,João Pedro de Sousa Rodrigues - Tchoca,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/COR/FORMATO.png,Zagueiro,Nulo,264,COR,COR
{},0,89275,1,283,2,7,0,0.0,0.0,12.0,False,william,William,William,Willian de Asevedo Furtado,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,Lateral,Provável,283,CRU,CRU
{},0,131753,1,264,1,6,0,0.0,0.0,2.0,False,felipe-longo,Felipe Longo,F. Longo,Felipe Longo Fernandes da Silva,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/COR/FORMATO.png,Goleiro,Nulo,264,COR,COR
{},1,133543,1,264,5,6,0,0.0,-0.91,4.09,True,gui-negao,Gui Negão,G. Negão,Guilherme William Silva Inácio,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/COR/FORMATO.png,Atacante,Nulo,264,COR,COR
{},1,45125,1,283,6,7,0,1.37,-1.7,10.3,True,tite,Tite,Tite,Adenor Leonardo Bachi,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,Técnico,Provável,283,CRU,CRU
"{'DS': 1, 'FC': 2}",1,42500,1,283,2,6,0,0.9,-0.96,6.04,True,fagner,Fagner,Fagner,Fagner Conserva Lemos,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,Lateral,Nulo,283,CRU,CRU
{},0,88479,1,283,4,6,0,0.0,0.0,4.0,False,walace,Walace,Walace,Walace Souza Silva,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,Meia,Nulo,283,CRU,CRU
"{'CA': 1, 'DS': 1, 'FC': 1}",1,79701,1,283,4,7,0,0.2,-1.57,7.43,True,lucas-silva,Lucas Silva,L. Silva,Lucas Silva Borges,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,Meia,Provável,283,CRU,CRU
{},0,114405,1,283,5,6,0,0.0,0.0,6.0,False,sinisterra,Sinisterra,Sinisterra,Luis Fernando Sinisterra Lucumí,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,Atacante,Nulo,283,CRU,CRU
{},0,111690,1,283,1,5,0,0.0,0.0,3.0,False,matheus-cunha,Matheus Cunha,M. Cunha,Matheus Cunha Queiroz,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,Goleiro,Contundido,283,CRU,CRU
{},0,141995,1,264,4,6,0,0.0,0.0,4.0,False,dieguinho,Dieguinho,Dieguinho,Diego da Cruz Lopes,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/COR/FORMATO.png,Meia,Nulo,264,COR,COR
"{'DS': 1, 'FD': 1, 'FS': 2}",1,96610,1,283,4,7,0,3.7,-2.34,17.66,True,matheus-pereira,Matheus Pereira,M. Pereira,Matheus Fellipe Costa Pereira,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,Meia,Provável,283,CRU,CRU
{'DS': 1},1,100742,1,283,4,6,0,1.5,-0.93,7.07,True,matheus-henrique,Matheus Henrique,M. Henrique,Matheus Henrique de Souza,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,Meia,Nulo,283,CRU,CRU
"{'FC': 2, 'FF': 2, 'I': 1}",1,93478,1,283,5,2,0,0.9,-0.78,5.22,True,wanderson,Wanderson,Wanderson,Wanderson Maciel Sousa Campos,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,Atacante,Dúvida,283,CRU,CRU
{},1,124912,1,283,3,5,0,0.0,-1.09,4.91,True,jonathan-jesus,Jonathan Jesus,J. Jesus,Jonathan de Jesus Alves,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,Zagueiro,Contundido,283,CRU,CRU
{},0,139345,1,283,2,6,0,0.0,0.0,4.0,False,kaua-prates,Kauã Prates,K. Prates,Kauã Prates de Almeida,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,Lateral,Nulo,283,CRU,CRU
{},0,113158,1,283,5,6,0,0.0,0.0,4.0,False,marquinhos,Marquinhos,Marquinhos,Marcus Vinícius Oliveira Alencar,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,Atacante,Nulo,283,CRU,CRU
{},0,146807,1,283,5,6,0,0.0,0.0,2.0,False,rayan-lelis,Rayan Lelis,R. Lelis,Rayan Passaglia Lelis,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,Atacante,Nulo,283,CRU,CRU
"{'FD': 1, 'FS': 1}",1,132264,1,283,5,2,0,1.7,-0.68,6.32,True,arroyo,Arroyo,Arroyo,Keny Alexander Arroyo Alvarado,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,Atacante,Dúvida,283,CRU,CRU
{'FC': 1},1,105047,1,283,3,2,0,-0.3,-1.01,3.99,True,joao-marcelo,João Marcelo,J. Marcelo,João Marcelo Messias Ferreira,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,Zagueiro,Dúvida,283,CRU,CRU
{},0,143600,1,283,2,6,0,0.0,0.0,3.0,False,kaua-moraes,Kauã Moraes,K. Moraes,Kauã Moraes Silva,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,Lateral,Nulo,283,CRU,CRU
{},0,131967,1,283,5,6,0,0.0,0.0,5.0,False,villarreal,Villarreal,Villarreal,Neyser Villarreal - Neiser,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,Atacante,Nulo,283,CRU,CRU
"{'CA': 1, 'FC': 1, 'FF': 1}",1,137542,1,283,5,6,0,-0.5,-0.72,2.28,True,kaique-kenji,Kaique Kenji,K. Kenji,Kaique Kenji Takamura Correa,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,Atacante,Nulo,283,CRU,CRU
{},0,69783,1,262,3,6,0,0.0,0.0,8.0,False,danilo,Danilo,Danilo,Danilo Luiz da Silva,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,Zagueiro,Nulo,262,FLA,FLA
{},0,117404,1,283,1,6,0,0.0,0.0,2.0,False,otavio,Otávio,Otávio,Otávio Eleodoro Rezende Costa,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,Goleiro,Nulo,283,CRU,CRU
{},0,122660,1,283,4,6,0,0.0,0.0,3.0,False,japa,Japa,Japa,João Wellington Gadelha Melo de Oliveira,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,Meia,Nulo,283,CRU,CRU
{},0,143350,1,283,4,6,0,0.0,0.0,3.0,False,murilo-rhikman,Murilo Rhikman,M. Rhikman,Murilo Rhikman Alves Pimentel,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,Meia,Nulo,283,CRU,CRU
"{'FC': 2, 'FD': 2, 'FF': 1, 'I': 2}",1,92854,1,285,5,7,0,2.4,-0.61,7.39,True,borre,Borré,Borré,Rafael Santos Borré Maury,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/INT/FORMATO.png,Atacante,Provável,285,INT,INT
"{'DS': 4, 'FC': 1, 'FS': 2}",1,84816,1,262,2,6,0,6.7,1.08,8.08,True,varela,Varela,Varela,Guillermo Varela Olivera,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,Lateral,Nulo,262,FLA,FLA
